variant,token,correct,missing,substituted,total,error_rate
whisper-small,q1,361,37,18,416,0.13221153846153844
whisper-large-v3-turbo,beginning,79,9,3,91,0.13186813186813184
whisper-small,53,79,6,6,91,0.13186813186813184
GPT-4o mini Transcribe,200,257,21,18,296,0.1317567567567568
GPT-4o mini Transcribe,way,99,6,9,114,0.13157894736842102
GPT-4o mini Transcribe,7,555,69,15,639,0.13145539906103287
whisper-large-v3-turbo,range,496,61,14,571,0.13134851138353765
whisper-small,eps,172,9,17,198,0.13131313131313127
whisper-small,generate,86,6,7,99,0.13131313131313127
GPT-4o mini Transcribe,march,86,12,1,99,0.13131313131313127
whisper-small,transactions,86,12,1,99,0.13131313131313127
whisper-large-v3-turbo,lower,596,58,32,686,0.13119533527696792
whisper-small,euro,656,57,42,755,0.1311258278145695
whisper-large-v3-turbo,pandemic,179,24,3,206,0.1310679611650486
whisper-small,yen,1194,138,42,1374,0.13100436681222705
whisper-small,outlook,199,21,9,229,0.13100436681222705
whisper-small,tty,113,16,1,130,0.13076923076923075
GPT-4o mini Transcribe,remain,100,3,12,115,0.13043478260869568
whisper-large-v3-turbo,accounting,60,6,3,69,0.13043478260869568
whisper-large-v3-turbo,ex,60,6,3,69,0.13043478260869568
GPT-4o mini Transcribe,maturity,60,3,6,69,0.13043478260869568
whisper-large-v3-turbo,enterprise,60,0,9,69,0.13043478260869568
whisper-small,ex,60,6,3,69,0.13043478260869568
whisper-large-v3-turbo,rose,120,15,3,138,0.13043478260869568
whisper-small,high,354,34,19,407,0.13022113022113024
whisper-small,totaled,127,19,0,146,0.13013698630136983
whisper-small,much,301,27,18,346,0.13005780346820806
whisper-large-v3-turbo,benefit,87,9,4,100,0.13
whisper-large-v3-turbo,id,67,6,4,77,0.1298701298701299
whisper-small,ebitda,1838,171,103,2112,0.1297348484848485
GPT-4o mini Transcribe,benefits,47,7,0,54,0.12962962962962965
whisper-large-v3-turbo,benefits,47,4,3,54,0.12962962962962965
whisper-small,reason,47,7,0,54,0.12962962962962965
whisper-large-v3-turbo,day,336,29,21,386,0.1295336787564767
whisper-small,recovery,121,15,3,139,0.1294964028776978
GPT-4o mini Transcribe,further,121,9,9,139,0.1294964028776978
whisper-small,where,249,19,18,286,0.12937062937062938
whisper-large-v3-turbo,point,431,37,27,495,0.12929292929292935
whisper-large-v3-turbo,7,559,69,14,642,0.12928348909657317
GPT-4o mini Transcribe,vious,472,48,22,542,0.12915129151291516
whisper-large-v3-turbo,2,2459,306,58,2823,0.12894084307474318
whisper-small,orders,115,4,13,132,0.12878787878787878
whisper-large-v3-turbo,after,352,30,22,404,0.12871287128712872
whisper-large-v3-turbo,vious,474,43,27,544,0.12867647058823528
whisper-large-v3-turbo,joining,61,3,6,70,0.12857142857142856
whisper-large-v3-turbo,structure,61,9,0,70,0.12857142857142856
whisper-large-v3-turbo,february,61,3,6,70,0.12857142857142856
whisper-small,against,122,12,6,140,0.12857142857142856
whisper-small,structure,61,9,0,70,0.12857142857142856
whisper-small,weve,400,22,37,459,0.1285403050108932
GPT-4o mini Transcribe,100,414,49,12,475,0.128421052631579
whisper-large-v3-turbo,product,224,33,0,257,0.12840466926070038
whisper-small,committed,68,9,1,78,0.1282051282051282
whisper-small,still,306,22,23,351,0.1282051282051282
whisper-large-v3-turbo,capacity,150,19,3,172,0.12790697674418605
whisper-large-v3-turbo,without,75,4,7,86,0.12790697674418605
whisper-small,7,560,69,13,642,0.12772585669781933
whisper-large-v3-turbo,1.8,123,18,0,141,0.12765957446808507
GPT-4o mini Transcribe,2.9,89,6,7,102,0.12745098039215685
whisper-large-v3-turbo,3.3,89,12,1,102,0.12745098039215685
GPT-4o mini Transcribe,bridge,48,1,6,55,0.12727272727272732
whisper-small,actions,48,5,2,55,0.12727272727272732
whisper-large-v3-turbo,impacts,48,1,6,55,0.12727272727272732
whisper-large-v3-turbo,supported,103,6,9,118,0.1271186440677966
whisper-small,big,103,9,6,118,0.1271186440677966
whisper-large-v3-turbo,less,206,21,9,236,0.1271186440677966
GPT-4o mini Transcribe,exceeding,62,6,3,71,0.12676056338028174
GPT-4o mini Transcribe,china,62,6,3,71,0.12676056338028174
whisper-large-v3-turbo,exceeding,62,3,6,71,0.12676056338028174
whisper-large-v3-turbo,important,131,12,7,150,0.1266666666666667
GPT-4o mini Transcribe,structure,69,9,1,79,0.12658227848101267
whisper-small,250,76,11,0,87,0.12643678160919536
GPT-4o mini Transcribe,little,152,12,10,174,0.12643678160919536
whisper-small,colombia,83,9,3,95,0.12631578947368416
GPT-4o mini Transcribe,fact,83,9,3,95,0.12631578947368416
whisper-large-v3-turbo,improving,83,6,6,95,0.12631578947368416
GPT-4o mini Transcribe,companys,111,9,7,127,0.12598425196850394
whisper-small,represented,118,10,7,135,0.12592592592592589
whisper-small,generation,153,16,6,175,0.12571428571428567
whisper-large-v3-turbo,8,626,83,7,716,0.12569832402234637
whisper-small,included,174,12,13,199,0.12562814070351758
whisper-large-v3-turbo,40,390,32,24,446,0.12556053811659196
GPT-4o mini Transcribe,positive,432,28,34,494,0.1255060728744939
whisper-small,fee,91,6,7,104,0.125
whisper-small,seen,231,18,15,264,0.125
GPT-4o mini Transcribe,clear,84,0,12,96,0.125
whisper-small,economic,77,6,5,88,0.125
whisper-small,us,1106,98,60,1264,0.125
GPT-4o mini Transcribe,reais,189,15,12,216,0.125
whisper-large-v3-turbo,22,631,32,58,721,0.12482662968099856
whisper-small,close,295,11,31,337,0.12462908011869434
whisper-small,like,478,36,32,546,0.12454212454212454
whisper-small,reached,367,33,19,419,0.12410501193317425
whisper-small,following,106,12,3,121,0.12396694214876036
whisper-small,thank,424,30,30,484,0.12396694214876036
whisper-small,explained,106,15,0,121,0.12396694214876036
whisper-small,volume,290,30,11,331,0.1238670694864048
whisper-small,4.4,92,13,0,105,0.12380952380952381
whisper-large-v3-turbo,target,249,25,10,284,0.12323943661971826
GPT-4o mini Transcribe,70,235,21,12,268,0.12313432835820892
GPT-4o mini Transcribe,4.8,57,4,4,65,0.12307692307692308
whisper-large-v3-turbo,4.8,57,6,2,65,0.12307692307692308
whisper-small,4.8,57,7,1,65,0.12307692307692308
whisper-large-v3-turbo,companys,114,9,7,130,0.12307692307692308
whisper-small,mix,164,13,10,187,0.12299465240641716
whisper-small,least,107,3,12,122,0.12295081967213117
whisper-large-v3-turbo,bit,150,15,6,171,0.1228070175438597
whisper-small,69,50,0,7,57,0.1228070175438597
whisper-small,launched,50,3,4,57,0.1228070175438597
whisper-large-v3-turbo,20,1008,87,54,1149,0.12271540469973885
whisper-large-v3-turbo,announced,136,13,6,155,0.1225806451612903
whisper-small,announced,136,7,12,155,0.1225806451612903
whisper-small,core,251,24,11,286,0.1223776223776224
GPT-4o mini Transcribe,acquired,122,9,8,139,0.12230215827338131
whisper-large-v3-turbo,acquired,122,12,5,139,0.12230215827338131
whisper-small,expect,805,60,52,917,0.12213740458015265
whisper-large-v3-turbo,below,259,24,12,295,0.12203389830508471
whisper-small,8,626,73,14,713,0.12201963534361848
whisper-small,dont,108,9,6,123,0.12195121951219512
whisper-large-v3-turbo,sheet,173,15,9,197,0.12182741116751272
whisper-small,right,289,21,19,329,0.12158054711246202
whisper-small,4.5,152,6,15,173,0.12138728323699421
GPT-4o mini Transcribe,acquisition,181,7,18,206,0.12135922330097082
GPT-4o mini Transcribe,kroner,87,9,3,99,0.12121212121212122
whisper-large-v3-turbo,2018,145,12,8,165,0.12121212121212122
whisper-large-v3-turbo,100,428,46,13,487,0.12114989733059545
whisper-large-v3-turbo,their,138,13,6,157,0.12101910828025475
whisper-small,made,109,15,0,124,0.12096774193548387
whisper-small,inflation,109,7,8,124,0.12096774193548387
whisper-large-v3-turbo,53,80,7,4,91,0.1208791208791209
whisper-small,end,815,48,64,927,0.12081984897518883
whisper-small,despite,204,13,15,232,0.12068965517241381
whisper-small,change,102,6,8,116,0.12068965517241381
whisper-small,increase,1948,171,96,2215,0.12054176072234768
whisper-large-v3-turbo,markets,197,18,9,224,0.1205357142857143
whisper-large-v3-turbo,potential,73,10,0,83,0.12048192771084343
whisper-small,potential,73,9,1,83,0.12048192771084343
whisper-small,40,402,37,18,457,0.12035010940919033
whisper-small,guidance,1347,87,97,1531,0.12018288700195945
whisper-large-v3-turbo,value,271,25,12,308,0.12012987012987009
whisper-large-v3-turbo,charge,66,3,6,75,0.12
whisper-small,dollars,397,25,29,451,0.11973392461197341
whisper-small,20,1009,114,23,1146,0.1195462478184991
whisper-large-v3-turbo,much,302,27,14,343,0.11953352769679304
whisper-small,asset,398,38,16,452,0.11946902654867253
whisper-large-v3-turbo,73,59,6,2,67,0.11940298507462688
GPT-4o mini Transcribe,general,118,7,9,134,0.11940298507462688
whisper-small,200,266,18,18,302,0.11920529801324509
whisper-large-v3-turbo,yeah,244,16,17,277,0.11913357400722024
whisper-large-v3-turbo,policy,111,15,0,126,0.11904761904761907
whisper-large-v3-turbo,volume,289,27,12,328,0.11890243902439024
whisper-small,shows,126,7,10,143,0.11888111888111885
GPT-4o mini Transcribe,having,89,9,3,101,0.1188118811881188
whisper-large-v3-turbo,having,89,9,3,101,0.1188118811881188
whisper-small,levels,275,19,18,312,0.11858974358974361
GPT-4o mini Transcribe,did,119,9,7,135,0.11851851851851847
GPT-4o mini Transcribe,working,253,13,21,287,0.11846689895470386
whisper-large-v3-turbo,expectation,67,6,3,76,0.11842105263157898
whisper-small,expectation,67,6,3,76,0.11842105263157898
whisper-small,any,246,28,5,279,0.11827956989247312
whisper-small,third,1424,137,54,1615,0.11826625386996903
whisper-small,28,179,12,12,203,0.11822660098522164
whisper-large-v3-turbo,fee,97,6,7,110,0.11818181818181817
GPT-4o mini Transcribe,fee,97,3,10,110,0.11818181818181817
GPT-4o mini Transcribe,any,239,21,11,271,0.11808118081180807
whisper-large-v3-turbo,billion,4400,420,169,4989,0.11805973140909998
GPT-4o mini Transcribe,less,202,21,6,229,0.11790393013100442
whisper-small,excluding,337,29,16,382,0.11780104712041883
whisper-large-v3-turbo,corresponding,75,6,4,85,0.11764705882352944
whisper-small,corresponding,75,7,3,85,0.11764705882352944
GPT-4o mini Transcribe,grown,45,6,0,51,0.11764705882352944
whisper-large-v3-turbo,overall,375,30,20,425,0.11764705882352944
whisper-small,240,45,3,3,51,0.11764705882352944
whisper-small,grown,45,6,0,51,0.11764705882352944
GPT-4o mini Transcribe,variance,45,3,3,51,0.11764705882352944
whisper-small,recent,45,1,5,51,0.11764705882352944
whisper-large-v3-turbo,5.5,45,6,0,51,0.11764705882352944
whisper-large-v3-turbo,recent,45,1,5,51,0.11764705882352944
whisper-large-v3-turbo,penetration,45,6,0,51,0.11764705882352944
whisper-small,assumption,45,0,6,51,0.11764705882352944
whisper-large-v3-turbo,cumulative,45,0,6,51,0.11764705882352944
GPT-4o mini Transcribe,fy21,90,12,0,102,0.11764705882352944
whisper-small,level,488,42,23,553,0.11754068716094035
whisper-small,second,849,64,49,962,0.11746361746361744
whisper-small,3,1647,187,32,1866,0.117363344051447
whisper-small,1,3456,347,112,3915,0.11724137931034484
whisper-large-v3-turbo,stable,128,14,3,145,0.11724137931034484
whisper-small,27,211,13,15,239,0.11715481171548114
whisper-small,key,181,21,3,205,0.11707317073170731
GPT-4o mini Transcribe,yield,68,3,6,77,0.11688311688311692
whisper-small,low,257,18,16,291,0.11683848797250862
whisper-small,result,514,39,29,582,0.11683848797250862
whisper-large-v3-turbo,quite,121,6,10,137,0.11678832116788318
whisper-small,cash,2744,230,132,3106,0.1165486155827431
whisper-small,maintain,91,9,3,103,0.11650485436893199
GPT-4o mini Transcribe,maintain,91,6,6,103,0.11650485436893199
whisper-small,use,91,6,6,103,0.11650485436893199
whisper-small,paid,190,19,6,215,0.11627906976744184
GPT-4o mini Transcribe,point,442,29,29,500,0.11599999999999999
whisper-large-v3-turbo,guidance,1358,104,74,1536,0.11588541666666663
whisper-small,based,290,30,8,328,0.11585365853658536
whisper-large-v3-turbo,recurring,145,17,2,164,0.11585365853658536
whisper-small,decreased,420,36,19,475,0.11578947368421055
whisper-small,million,8751,747,398,9896,0.11570331447049309
whisper-small,negative,283,34,3,320,0.11562499999999998
whisper-small,delivered,199,15,11,225,0.11555555555555552
GPT-4o mini Transcribe,obviously,299,30,9,338,0.11538461538461542
whisper-large-v3-turbo,want,69,6,3,78,0.11538461538461542
GPT-4o mini Transcribe,board,115,9,6,130,0.11538461538461542
whisper-small,lead,46,3,3,52,0.11538461538461542
whisper-small,evolution,115,6,9,130,0.11538461538461542
whisper-small,amounting,46,3,3,52,0.11538461538461542
whisper-large-v3-turbo,q1,368,39,9,416,0.11538461538461542
GPT-4o mini Transcribe,złoty,69,6,3,78,0.11538461538461542
whisper-large-v3-turbo,złoty,69,6,3,78,0.11538461538461542
GPT-4o mini Transcribe,mix,169,18,4,191,0.11518324607329844
whisper-small,fees,169,15,7,191,0.11518324607329844
whisper-small,compared,2013,177,85,2275,0.11516483516483511
whisper-small,55,123,0,16,139,0.1151079136690647
whisper-large-v3-turbo,theres,100,3,10,113,0.11504424778761058
GPT-4o mini Transcribe,35,254,27,6,287,0.1149825783972126
whisper-small,period,770,56,44,870,0.11494252873563215
GPT-4o mini Transcribe,2,2482,255,67,2804,0.11483594864479318
whisper-small,annualized,54,3,4,61,0.11475409836065575
whisper-large-v3-turbo,generated,270,27,8,305,0.11475409836065575
whisper-small,inventory,54,6,1,61,0.11475409836065575
whisper-large-v3-turbo,prices,193,22,3,218,0.11467889908256879
whisper-small,effective,170,12,10,192,0.11458333333333337
whisper-small,improve,116,6,9,131,0.1145038167938931
whisper-large-v3-turbo,distribution,147,5,14,166,0.11445783132530118
whisper-large-v3-turbo,27,209,21,6,236,0.11440677966101698
GPT-4o mini Transcribe,depreciation,93,3,9,105,0.11428571428571432
GPT-4o mini Transcribe,volume,287,21,16,324,0.11419753086419748
GPT-4o mini Transcribe,too,70,6,3,79,0.11392405063291144
whisper-large-v3-turbo,funds,70,6,3,79,0.11392405063291144
whisper-small,payment,140,12,6,158,0.11392405063291144
GPT-4o mini Transcribe,funds,70,6,3,79,0.11392405063291144
whisper-small,build,70,9,0,79,0.11392405063291144
whisper-small,liability,70,9,0,79,0.11392405063291144
whisper-large-v3-turbo,based,288,27,10,325,0.11384615384615382
GPT-4o mini Transcribe,selling,109,11,3,123,0.11382113821138207
whisper-small,selling,109,10,4,123,0.11382113821138207
GPT-4o mini Transcribe,remains,148,16,3,167,0.11377245508982037
GPT-4o mini Transcribe,billion,4421,406,161,4988,0.11367281475541302
whisper-large-v3-turbo,decreased,422,38,16,476,0.11344537815126055
GPT-4o mini Transcribe,result,508,24,41,573,0.11343804537521818
whisper-small,both,313,30,10,353,0.11331444759206799
GPT-4o mini Transcribe,reflects,94,0,12,106,0.1132075471698113
whisper-large-v3-turbo,execution,47,3,3,53,0.1132075471698113
whisper-small,reflects,94,12,0,106,0.1132075471698113
GPT-4o mini Transcribe,175,47,6,0,53,0.1132075471698113
whisper-large-v3-turbo,compound,47,6,0,53,0.1132075471698113
GPT-4o mini Transcribe,todays,47,6,0,53,0.1132075471698113
GPT-4o mini Transcribe,incremental,94,6,6,106,0.1132075471698113
whisper-small,probably,102,10,3,115,0.11304347826086958
whisper-small,reach,157,15,5,177,0.11299435028248583
GPT-4o mini Transcribe,long,212,22,5,239,0.11297071129707115
whisper-small,summary,55,0,7,62,0.11290322580645162
whisper-large-v3-turbo,pleased,55,3,4,62,0.11290322580645162
whisper-large-v3-turbo,tl,189,18,6,213,0.11267605633802813
GPT-4o mini Transcribe,bottom,63,7,1,71,0.11267605633802813
GPT-4o mini Transcribe,74,63,7,1,71,0.11267605633802813
whisper-small,below,260,24,9,293,0.11262798634812288
whisper-large-v3-turbo,900,71,6,3,80,0.11250000000000004
whisper-small,bringing,71,9,0,80,0.11250000000000004
GPT-4o mini Transcribe,potential,71,9,0,80,0.11250000000000004
whisper-small,infrastructure,71,3,6,80,0.11250000000000004
whisper-small,or,1494,128,61,1683,0.11229946524064172
GPT-4o mini Transcribe,31st,87,0,11,98,0.11224489795918369
whisper-small,fourth,617,50,28,695,0.11223021582733816
whisper-small,energy,182,6,17,205,0.1121951219512195
whisper-small,32,95,9,3,107,0.11214953271028039
whisper-small,significant,380,33,15,428,0.11214953271028039
whisper-small,6,1022,102,27,1151,0.11207645525629883
whisper-large-v3-turbo,led,103,9,4,116,0.11206896551724133
whisper-small,remain,103,0,13,116,0.11206896551724133
whisper-small,70,238,18,12,268,0.11194029850746268
GPT-4o mini Transcribe,reach,159,15,5,179,0.11173184357541899
whisper-small,september,342,30,13,385,0.11168831168831173
whisper-large-v3-turbo,thank,430,33,21,484,0.11157024793388426
GPT-4o mini Transcribe,under,239,21,9,269,0.11152416356877326
whisper-large-v3-turbo,very,933,69,48,1050,0.11142857142857143
whisper-small,bookings,48,0,6,54,0.11111111111111116
whisper-small,zero,144,10,8,162,0.11111111111111116
GPT-4o mini Transcribe,turkish,72,9,0,81,0.11111111111111116
whisper-large-v3-turbo,reais,192,15,9,216,0.11111111111111116
whisper-small,drivers,128,16,0,144,0.11111111111111116
whisper-large-v3-turbo,scope,48,3,3,54,0.11111111111111116
whisper-small,assets,216,16,11,243,0.11111111111111116
whisper-large-v3-turbo,figures,144,12,6,162,0.11111111111111116
GPT-4o mini Transcribe,small,56,0,7,63,0.11111111111111116
GPT-4o mini Transcribe,0.5,48,6,0,54,0.11111111111111116
whisper-large-v3-turbo,though,48,3,3,54,0.11111111111111116
whisper-small,roce,48,0,6,54,0.11111111111111116
whisper-large-v3-turbo,sonae,48,6,0,54,0.11111111111111116
