variant,token,correct,missing,substituted,total,error_rate
whisper-large-v3-turbo,36,85,0,6,91,0.06593406593406592
whisper-small,demand,170,3,9,182,0.06593406593406592
whisper-small,special,85,3,3,91,0.06593406593406592
whisper-small,decline,284,6,14,304,0.06578947368421051
GPT-4o mini Transcribe,consecutive,71,2,3,76,0.06578947368421051
whisper-large-v3-turbo,group,554,30,9,593,0.06576728499156825
whisper-small,another,199,8,6,213,0.06572769953051638
whisper-large-v3-turbo,against,128,6,3,137,0.06569343065693434
GPT-4o mini Transcribe,against,128,3,6,137,0.06569343065693434
whisper-small,question,370,16,10,396,0.06565656565656564
whisper-small,impact,541,26,12,579,0.0656303972366149
GPT-4o mini Transcribe,right,299,9,12,320,0.06562500000000004
whisper-large-v3-turbo,fourth,655,28,18,701,0.06562054208273893
GPT-4o mini Transcribe,inventory,57,0,4,61,0.06557377049180324
GPT-4o mini Transcribe,lastly,57,0,4,61,0.06557377049180324
whisper-large-v3-turbo,inventory,57,0,4,61,0.06557377049180324
whisper-large-v3-turbo,payments,114,5,3,122,0.06557377049180324
GPT-4o mini Transcribe,place,57,4,0,61,0.06557377049180324
whisper-small,although,57,3,1,61,0.06557377049180324
whisper-large-v3-turbo,be,1796,71,55,1922,0.0655567117585848
whisper-small,commercial,157,4,7,168,0.06547619047619047
GPT-4o mini Transcribe,so,2970,104,104,3178,0.06544996853366902
GPT-4o mini Transcribe,up,2000,82,58,2140,0.06542056074766356
whisper-large-v3-turbo,decrease,329,17,6,352,0.06534090909090906
GPT-4o mini Transcribe,reached,358,16,9,383,0.06527415143603132
GPT-4o mini Transcribe,colombia,86,3,3,92,0.06521739130434778
whisper-large-v3-turbo,means,129,6,3,138,0.06521739130434778
GPT-4o mini Transcribe,mostly,86,3,3,92,0.06521739130434778
whisper-large-v3-turbo,nearly,172,6,6,184,0.06521739130434778
whisper-small,backlog,86,3,3,92,0.06521739130434778
GPT-4o mini Transcribe,fully,129,6,3,138,0.06521739130434778
whisper-small,improved,330,13,10,353,0.06515580736543913
GPT-4o mini Transcribe,take,244,6,11,261,0.06513409961685823
whisper-small,date,201,6,8,215,0.06511627906976747
GPT-4o mini Transcribe,only,316,12,10,338,0.0650887573964497
whisper-large-v3-turbo,gain,115,8,0,123,0.06504065040650409
GPT-4o mini Transcribe,unit,302,18,3,323,0.06501547987616096
whisper-small,units,144,6,4,154,0.06493506493506496
whisper-small,74,72,3,2,77,0.06493506493506496
GPT-4o mini Transcribe,we,8036,303,254,8593,0.06482020249039921
whisper-small,47,101,4,3,108,0.06481481481481477
whisper-small,provided,101,7,0,108,0.06481481481481477
whisper-large-v3-turbo,3.2,101,3,4,108,0.06481481481481477
GPT-4o mini Transcribe,management,231,9,7,247,0.06477732793522262
whisper-large-v3-turbo,actually,260,9,9,278,0.06474820143884896
GPT-4o mini Transcribe,because,347,18,6,371,0.06469002695417791
GPT-4o mini Transcribe,for,7417,291,221,7929,0.06457308613948798
whisper-large-v3-turbo,place,58,1,3,62,0.06451612903225812
whisper-large-v3-turbo,summary,58,3,1,62,0.06451612903225812
GPT-4o mini Transcribe,money,87,3,3,93,0.06451612903225812
GPT-4o mini Transcribe,thank,435,6,24,465,0.06451612903225812
GPT-4o mini Transcribe,days,116,6,2,124,0.06451612903225812
whisper-large-v3-turbo,higher,930,48,16,994,0.06438631790744465
whisper-large-v3-turbo,margin,2531,102,72,2705,0.06432532347504616
whisper-small,therefore,131,6,3,140,0.06428571428571428
GPT-4o mini Transcribe,13,393,6,21,420,0.06428571428571428
GPT-4o mini Transcribe,which,2287,87,70,2444,0.06423895253682488
GPT-4o mini Transcribe,came,277,7,12,296,0.06418918918918914
GPT-4o mini Transcribe,9,1299,55,34,1388,0.0641210374639769
whisper-large-v3-turbo,first,1810,54,70,1934,0.06411582213029987
GPT-4o mini Transcribe,margin,2497,82,89,2668,0.0640929535232384
whisper-large-v3-turbo,45,263,18,0,281,0.06405693950177938
whisper-small,45,263,18,0,281,0.06405693950177938
GPT-4o mini Transcribe,75,190,10,3,203,0.0640394088669951
whisper-small,days,117,6,2,125,0.06399999999999995
GPT-4o mini Transcribe,flat,88,3,3,94,0.06382978723404253
whisper-small,within,176,9,3,188,0.06382978723404253
whisper-small,barrel,220,6,9,235,0.06382978723404253
GPT-4o mini Transcribe,amounted,176,0,12,188,0.06382978723404253
GPT-4o mini Transcribe,improving,88,0,6,94,0.06382978723404253
whisper-small,flat,88,3,3,94,0.06382978723404253
whisper-large-v3-turbo,flat,88,3,3,94,0.06382978723404253
whisper-small,means,132,3,6,141,0.06382978723404253
GPT-4o mini Transcribe,about,1486,59,42,1587,0.0636420919974795
whisper-large-v3-turbo,level,515,30,5,550,0.0636363636363636
whisper-small,morning,177,3,9,189,0.06349206349206349
whisper-small,opportunity,59,3,1,63,0.06349206349206349
whisper-small,5.2,59,4,0,63,0.06349206349206349
whisper-large-v3-turbo,5.2,59,3,1,63,0.06349206349206349
whisper-small,february,59,0,4,63,0.06349206349206349
GPT-4o mini Transcribe,5.2,59,0,4,63,0.06349206349206349
GPT-4o mini Transcribe,from,3792,155,102,4049,0.06347246233637938
whisper-large-v3-turbo,number,487,19,14,520,0.06346153846153846
whisper-large-v3-turbo,above,443,22,8,473,0.06342494714587743
whisper-large-v3-turbo,coming,207,4,10,221,0.06334841628959276
whisper-large-v3-turbo,put,74,1,4,79,0.06329113924050633
GPT-4o mini Transcribe,terms,622,18,24,664,0.06325301204819278
GPT-4o mini Transcribe,sales,3140,124,88,3352,0.06324582338902152
GPT-4o mini Transcribe,base,267,11,7,285,0.06315789473684208
whisper-large-v3-turbo,health,89,6,0,95,0.06315789473684208
